"VideoAnalysis: Time (s)" ;"VideoAnalysis: X (cm)" ;"VideoAnalysis: Y (cm)" ;"VideoAnalysis: X Velocity (cm/s)" ;"VideoAnalysis: Y Velocity (cm/s)"
0                         ;30,3712984571           ;4,18198193293           ;-0,188925939859                    ;0,68989069126
0,133                     ;30,3245619581           ;4,32219143001           ;-0,0291665539906                   ;0,29441713463
0,733                     ;30,3712984571           ;4,46240092709           ;-0,0372819435924                   ;0,161054335504
1,767                     ;30,23108896             ;4,55587392515           ;-0,0186976315441                   ;0,133683988088
2,867                     ;30,3245619581           ;4,74281992126           ;-0,000249250870521                 ;0,12221379377
4,8                       ;30,2778254591           ;4,88302941834           ;-0,00624391743863                  ;0,138730453568
5,3                       ;30,23108896             ;5,06997541444           ;0,0425313538565                    ;0,171366006227
6,967                     ;30,4180349561           ;5,30365790958           ;0,0419520203369                    ;0,16432689134
8,667                     ;30,4180349561           ;5,58407690374           ;0,0231097497934                    ;0,176275204413
9,867                     ;30,4647714552           ;5,81775939888           ;0,0103774262857                    ;0,188845910889
11,1                      ;30,4180349561           ;6,05144189401           ;0,0125914645684                    ;0,203869817024
12,033                    ;30,4647714552           ;6,23838789012           ;0,0462528301785                    ;0,243934391105
12,767                    ;30,5582444532           ;6,47207038525           ;0,0192993115621                    ;0,280198535982
13,5                      ;30,4647714552           ;6,65901638136           ;0,0215796896223                    ;0,305540142794
14,233                    ;30,5582444532           ;6,93943537552           ;0,053383504429                     ;0,307461781898
15,2                      ;30,6049809523           ;7,17311787066           ;0,039754054784                     ;0,321689763782
15,667                    ;30,6049809523           ;7,36006386677           ;0,0346506757669                    ;0,391109959362
16,633                    ;30,6517174513           ;7,73395585898           ;0,0260485512567                    ;0,462205772898
17,133                    ;30,6517174513           ;8,06111135217           ;0,00749758477038                   ;0,521487782556
17,6                      ;30,6517174513           ;8,2947938473            ;0,00899290054651                   ;0,476558461141
18,567                    ;30,6523068484           ;8,68990241292           ;0,0297003016441                    ;0,503691218264
19,033                    ;30,6523068484           ;8,98177623194           ;0,120794530223                     ;0,59645636099
19,367                    ;30,7982437579           ;9,22500441445           ;0,126607804874                     ;0,585962128078
19,833                    ;30,7982437579           ;9,46823259696           ;0,0340896442656                    ;0,533268950005
20,3                      ;30,7982437579           ;9,71146077948           ;0,0175806420311                    ;0,512590962329
20,933                    ;30,7982437579           ;10,0033345985           ;0,0347279259241                    ;0,540520669822
21,433                    ;30,7982437579           ;10,2952084175           ;0,128957864065                     ;0,626032247443
21,8                      ;30,9441806674           ;10,5870822365           ;0,271147340128                     ;0,719371530077
